# number of time steps : 1.000 
# nmax = 20, lmax = 02 
# orginal matrix shape [1.0,20, 2, 2 ] 
# Snlm, Tnlm 
# r_s = 25.16 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
220488193774.263 0.000 
0.000 0.000 
0.000 0.000 
265730257.526 0.000 
721285550.162 -739391363.778 
0.000 0.000 
56804644.443 0.000 
300063402.353 20836348.167 
-90612930.239 -456380528.915 
6721930922.751 0.000 
0.000 0.000 
0.000 0.000 
-13296332.250 0.000 
62208445.998 39685783.366 
0.000 0.000 
-101700369.775 0.000 
-23656408.252 22772265.030 
57953580.712 83049083.373 
193292141.707 0.000 
0.000 0.000 
0.000 0.000 
11473381.760 0.000 
1531707.397 -6980187.869 
0.000 0.000 
16641090.348 0.000 
7391009.905 2700338.589 
-29634708.266 -11430204.968 
76891674.614 0.000 
0.000 0.000 
0.000 0.000 
-4862802.934 0.000 
81386.044 7016475.256 
0.000 0.000 
-2654473.225 0.000 
-5315359.506 1276357.419 
3288114.456 8559986.032 
-1048671.126 0.000 
0.000 0.000 
0.000 0.000 
2387302.412 0.000 
-1536996.701 -2447948.900 
0.000 0.000 
2125299.027 0.000 
6304615.209 1367125.874 
-591101.809 -1832674.440 
7549329.560 0.000 
0.000 0.000 
0.000 0.000 
-1455142.588 0.000 
155706.739 1623388.976 
0.000 0.000 
180101.001 0.000 
-2557526.700 645276.056 
434148.752 -1059525.981 
-27810452.217 0.000 
0.000 0.000 
0.000 0.000 
-51349.441 0.000 
1087702.995 -1727174.966 
0.000 0.000 
-416484.507 0.000 
662264.451 103818.476 
-325789.653 53034.822 
1147515.842 0.000 
0.000 0.000 
0.000 0.000 
-88994.735 0.000 
-589260.269 -82263.116 
0.000 0.000 
-67223.692 0.000 
-253836.151 -5966.766 
-125320.018 31162.183 
-1481615.157 0.000 
0.000 0.000 
0.000 0.000 
47096.106 0.000 
21736.738 90541.089 
0.000 0.000 
-60039.380 0.000 
93237.657 -213438.411 
-133751.172 250720.536 
12421854.201 0.000 
0.000 0.000 
0.000 0.000 
-251497.818 0.000 
34774.605 267070.958 
0.000 0.000 
170984.251 0.000 
-132651.030 33606.180 
97439.551 -10108.972 
26114.884 0.000 
0.000 0.000 
0.000 0.000 
125812.846 0.000 
-85028.958 -186616.907 
0.000 0.000 
13382.407 0.000 
30759.108 113656.908 
23293.156 -95761.536 
115216.077 0.000 
0.000 0.000 
0.000 0.000 
28710.390 0.000 
102461.004 -10247.418 
0.000 0.000 
-63726.215 0.000 
9125.532 -22150.819 
13940.096 30782.231 
-4793907.916 0.000 
0.000 0.000 
0.000 0.000 
-25601.787 0.000 
-20126.376 37454.496 
0.000 0.000 
-3140.639 0.000 
-9451.964 -36150.407 
-16467.886 33292.437 
-1276785.096 0.000 
0.000 0.000 
0.000 0.000 
-14472.969 0.000 
16726.325 -20228.390 
0.000 0.000 
13345.017 0.000 
22816.061 -3694.071 
20854.259 -23155.329 
117700.258 0.000 
0.000 0.000 
0.000 0.000 
24562.689 0.000 
-28804.220 239.400 
0.000 0.000 
-2677.363 0.000 
-10871.376 8002.421 
-2059.125 -3068.691 
2611604.358 0.000 
0.000 0.000 
0.000 0.000 
-13862.990 0.000 
1281.389 -14421.405 
0.000 0.000 
-838.069 0.000 
5666.693 674.161 
3757.862 -436.747 
275349.455 0.000 
0.000 0.000 
0.000 0.000 
-738.643 0.000 
1275.845 3654.637 
0.000 0.000 
783.636 0.000 
-7172.607 -8439.843 
5274.297 521.749 
-414132.936 0.000 
0.000 0.000 
0.000 0.000 
17848.191 0.000 
2866.199 5584.088 
0.000 0.000 
1177.512 0.000 
2415.365 535.718 
-14057.629 -1263.070 
-743335.190 0.000 
0.000 0.000 
0.000 0.000 
-14166.182 0.000 
-5705.573 -9897.404 
0.000 0.000 
4426.752 0.000 
1899.941 3808.088 
1653.250 -794.514 
34416.326 0.000 
0.000 0.000 
0.000 0.000 
6068.230 0.000 
-10676.953 -13588.947 
0.000 0.000 
-5469.629 0.000 
1126.297 636.186 
-440.962 712.477 
-20499.410 0.000 
0.000 0.000 
0.000 0.000 
5789.977 0.000 
10463.016 7592.813 
0.000 0.000 
3084.384 0.000 
-4455.522 319.038 
984.830 638.692 
